version_id,event_id,event_range,phrase_id,section_id,recording_take_no,batch_id,source_split_audio,gesture_id,realization_variant,target_attack_time_s,segment_insert_time_s,render_anchor_s,render_anchor_type,pre_attack_music_policy,tail_policy,tail_end_s,segment_start_s_in_render,segment_end_s_in_render,crossfade_ms,overlap_ms,phrase_boundary_role,experimental_render,production_grade,not_sample_assets,not_recording_segments,not_ml_training_data
B_PHRASE,XWC_P07_N02,XWC_P07_N02,XWC_P07_LOCAL_PHRASE,XWC_P07,T045,batch05,clean_previews/T045_clean_preview.wav,AN_THUMB_9_GOU_3,clean,94.148,93.327,0.821,main_attack,keep_silence,smart_fade_100ms,2.982,93.327,101.327,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P07_N03,XWC_P07_N03,XWC_P07_LOCAL_PHRASE,XWC_P07,T047,batch05,clean_previews/T047_clean_preview.wav,SAN_TIAO_7,clean,96.491,96.085,0.406,main_attack,keep_silence,smart_fade_100ms,3.097,96.085,103.675,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P07_N04,XWC_P07_N04,XWC_P07_LOCAL_PHRASE,XWC_P07,T049,batch05,clean_previews/T049_clean_preview.wav,AN_THUMB_9_GOU_4,clean,98.972,97.416,1.556,main_attack,keep_silence,smart_fade_100ms,3.246,97.416,105.236,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P08_N01,XWC_P08_N01,XWC_P08_LOCAL_PHRASE,XWC_P08,T050,batch05,clean_previews/T050_clean_preview.wav,AN_THUMB_9_GOU_5,clean,102.047,100.168,1.879,main_attack,keep_silence,smart_fade_100ms,4.320,100.168,110.338,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P08_N02,XWC_P08_N02,XWC_P08_LOCAL_PHRASE,XWC_P08,T052,batch06,clean_previews/T052_clean_preview.wav,AN_THUMB_9_GOU_6_SHANG_79,clean,104.523,103.330,1.193,main_attack,keep_silence,smart_fade_100ms,3.057,103.330,112.650,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P08_N03,XWC_P08_N03,XWC_P08_LOCAL_PHRASE,XWC_P08,T054,batch06,clean_previews/T054_clean_preview.wav,SAN_TIAO_7,clean,107.022,106.186,0.836,main_attack,keep_silence,smart_fade_100ms,3.363,106.186,115.246,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P08_N04,XWC_P08_N04,XWC_P08_LOCAL_PHRASE,XWC_P08,T056,batch06,clean_previews/T056_clean_preview.wav,AN_THUMB_9_GOU_4,clean,109.543,109.167,0.376,main_attack,keep_silence,smart_fade_100ms,2.343,109.167,117.927,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P09_N01,XWC_P09_N01,XWC_P09_LOCAL_PHRASE,XWC_P09,T057,batch06,clean_previews/T057_clean_preview.wav,AN_THUMB_9_GOU_4_ZHUANG,clean,112.635,109.851,2.784,main_attack,keep_silence,smart_fade_100ms,4.185,109.851,119.081,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P09_N02,XWC_P09_N01_to_N02,XWC_P09_LOCAL_PHRASE,XWC_P09,T060,batch06,clean_previews/T060_clean_preview.wav,AN_RING_10_QIAQI,clean,115.022,113.449,1.573,main_attack,keep_silence,smart_fade_100ms,3.973,113.449,123.489,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P09_N03,XWC_P09_N03,XWC_P09_LOCAL_PHRASE,XWC_P09,T061,batch07,clean_previews/T061_clean_preview.wav,SAN_TIAO_6,clean,117.370,115.819,1.551,main_attack,keep_silence,smart_fade_100ms,3.764,115.819,124.479,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P09_N04,XWC_P09_N04,XWC_P09_LOCAL_PHRASE,XWC_P09,T063,batch07,clean_previews/T063_clean_preview.wav,AN_RING_10_GOU_4,clean,119.712,118.298,1.414,main_attack,keep_silence,smart_fade_100ms,2.798,118.298,125.918,120,30,phrase_end,true,false,true,true,true
B_PHRASE,XWC_P10_N01,XWC_P10_N01,XWC_P10_LOCAL_PHRASE,XWC_P10,T064,batch07,clean_previews/T064_clean_preview.wav,FAN_SHI_7_GOU_4,clean,123.036,121.976,1.060,main_attack,keep_silence,smart_fade_100ms,3.801,121.976,129.336,120,30,phrase_start,true,false,true,true,true
B_PHRASE,XWC_P10_N02,XWC_P10_N02,XWC_P10_LOCAL_PHRASE,XWC_P10,T065,batch07,clean_previews/T065_clean_preview.wav,FAN_SHI_7_TIAO_7,clean,125.594,125.270,0.324,main_attack,keep_silence,smart_fade_100ms,2.965,125.270,131.080,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P10_N03,XWC_P10_N03,XWC_P10_LOCAL_PHRASE,XWC_P10,T066,batch07,clean_previews/T066_clean_preview.wav,FAN_SHI_7_TIAO_6,clean,128.156,127.949,0.207,main_attack,keep_silence,smart_fade_100ms,1.960,127.949,135.159,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P10_N04,XWC_P10_N04,XWC_P10_LOCAL_PHRASE,XWC_P10,T067,batch07,clean_previews/T067_clean_preview.wav,FAN_SHI_7_TIAO_4,clean,130.656,130.528,0.128,main_attack,keep_silence,smart_fade_100ms,2.899,130.528,137.388,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P10_N05,XWC_P10_N05,XWC_P10_LOCAL_PHRASE,XWC_P10,T068,batch07,clean_previews/T068_clean_preview.wav,FAN_ZHONG_7_GOU_1,clean,133.286,132.775,0.511,main_attack,keep_silence,smart_fade_100ms,2.197,132.775,138.205,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P10_N06,XWC_P10_N06,XWC_P10_LOCAL_PHRASE,XWC_P10,T069,batch07,clean_previews/T069_clean_preview.wav,FAN_DA_7_BO_6,clean,135.726,134.908,0.818,main_attack,keep_silence,smart_fade_100ms,2.900,134.908,142.158,120,30,within_phrase,true,false,true,true,true
B_PHRASE,XWC_P10_N07,XWC_P10_N07,XWC_P10_LOCAL_PHRASE,XWC_P10,T070,batch07,clean_previews/T070_clean_preview.wav,FAN_DA7_ZHONG7_CUO_6_1,clean,138.112,135.385,2.727,main_attack,keep_silence,smart_fade_100ms,7.800,135.385,146.805,120,30,phrase_end,true,false,true,true,true
